sender_id;receiver_id;nodetype;frequency;friend;workmate;neighbour;familymember;partner;colleague_association;other;knowledge;advice_freq;trust;contact_years
57;82;exchange;3;1;1;0;0;0;0;0;4;1;4;
57;83;exchange;2;0;1;0;0;0;0;0;4;0;4;
57;84;exchange;2;0;1;0;0;0;0;0;4;1;4;
57;85;exchange;2;0;1;0;0;0;0;0;3;1;4;
57;86;exchange;3;1;1;0;0;0;0;0;4;2;4;
57;21;agroconcept_contact;1;0;1;0;0;0;0;0;;;;10
58;;exchange;3;0;0;1;1;0;1;0;4;0;2;
58;87;exchange;2;0;0;0;0;0;0;1;4;0;5;
58;67;exchange;3;0;1;0;0;0;1;0;4;2;4;
58;28;agroconcept_contact;2;0;1;0;0;0;0;1;;;;50
58;16;agroconcept_contact;0;0;1;1;0;0;0;0;;;;50
58;4;agroconcept_contact;0;0;1;0;0;0;0;0;;;;15
58;17;agroconcept_contact;0;0;1;1;0;0;0;0;;;;15
59;88;exchange;3;0;0;0;0;0;0;1;4;4;4;
59;89;exchange;2;0;0;0;0;0;0;1;4;2;4;
59;76;exchange;3;0;1;0;0;0;0;0;4;0;4;
59;90;exchange;2;0;1;0;0;0;0;0;4;1;4;
59;68;exchange;3;0;1;0;0;0;0;0;4;1;4;
59;1;agroconcept_contact;2;0;1;0;0;0;0;0;;;;25
59;7;agroconcept_contact;2;0;1;0;0;0;0;0;;;;20
59;27;agroconcept_contact;1;0;1;0;0;0;0;0;;;;40
59;17;agroconcept_contact;1;0;1;0;0;0;0;0;;;;10
59;12;agroconcept_contact;2;0;1;0;0;0;0;0;;;;30
59;9;agroconcept_contact;3;0;1;0;0;0;0;0;;;;40
59;55;agroconcept_contact;2;0;1;0;0;0;0;0;;;;30
59;20;agroconcept_contact;3;0;1;0;0;0;0;0;;;;30
59;54;agroconcept_contact;3;0;1;0;0;0;1;0;;;;40
60;91;exchange;4;1;0;0;1;0;1;0;5;3;4;
60;92;exchange;1;0;0;0;0;0;0;1;4;0;4;
60;;exchange;4;0;0;0;1;0;0;0;3;0;;
60;6;agroconcept_contact;2;0;1;0;0;0;0;1;;;;1
60;23;agroconcept_contact;2;1;1;0;0;0;0;0;;;;25
60;4;agroconcept_contact;1;0;1;0;0;0;0;0;;;;17
60;17;agroconcept_contact;1;0;1;0;0;0;0;0;;;;10
60;27;agroconcept_contact;1;0;1;0;0;0;0;1;;;;10
60;16;agroconcept_contact;0;0;1;0;0;0;0;0;;;;20
60;12;agroconcept_contact;1;0;1;0;0;0;0;1;;;;15
60;9;agroconcept_contact;1;0;1;0;0;0;0;1;;;;10
60;22;agroconcept_contact;0;0;1;0;0;0;0;0;;;;20
60;20;agroconcept_contact;0;0;1;0;0;0;0;1;;;;5
60;14;agroconcept_contact;0;0;1;0;0;0;0;1;;;;10
60;54;agroconcept_contact;0;0;1;0;0;0;0;1;;;;10
60;19;agroconcept_contact;0;0;1;0;0;0;0;1;;;;10
61;27;agroconcept_contact;0;0;1;0;0;0;1;0;;;;20
61;17;agroconcept_contact;0;0;1;0;0;0;0;0;;;;15
62;93;exchange;4;0;1;0;0;0;0;0;5;2;4;
62;6;agroconcept_contact;2;0;1;0;0;0;0;0;;;;10
62;27;agroconcept_contact;0;0;0;0;0;0;0;1;;;;5
62;28;agroconcept_contact;0;0;0;0;0;0;0;1;;;;35
62;4;agroconcept_contact;1;0;1;0;0;0;0;0;;;;20
62;17;agroconcept_contact;0;0;0;0;0;0;0;1;;;;20
62;22;agroconcept_contact;2;1;0;0;0;0;0;0;;;;20
63;94;exchange;4;0;0;0;1;0;0;0;5;3;5;
63;95;exchange;4;0;1;0;0;0;0;1;2;3;4;
63;28;agroconcept_contact;0;0;0;0;0;0;0;1;;;;30
64;96;exchange;2;0;1;0;0;0;0;0;4;2;4;
64;18;exchange;3;0;1;0;0;0;0;0;5;2;5;
64;18;agroconcept_contact;2;0;1;0;0;0;0;0;;;;15
65;27;agroconcept_contact;0;1;1;0;0;0;0;0;;;;25
80;97;exchange;2;0;1;0;0;0;0;0;4;2;3;
66;98;exchange;4;1;1;0;0;0;0;0;4;4;5;
66;99;exchange;2;1;1;0;0;0;0;0;4;1;4;
66;27;agroconcept_contact;0;1;1;0;0;0;0;0;;;;25
66;10;agroconcept_contact;0;0;1;0;0;0;0;0;;;;19
67;;exchange;2;0;0;0;0;0;1;0;4;2;4;
67;;exchange;3;0;0;0;1;0;0;0;4;3;4;
67;6;agroconcept_contact;2;0;1;0;0;0;0;0;;;;8
67;25;agroconcept_contact;1;0;1;0;0;0;0;0;;;;2
67;14;agroconcept_contact;2;0;1;0;0;0;0;0;;;;6
67;56;agroconcept_contact;3;0;1;0;0;0;0;0;;;;7
67;4;agroconcept_contact;3;0;1;0;0;0;0;0;;;;20
67;24;agroconcept_contact;3;0;1;0;0;0;0;0;;;;8
68;23;agroconcept_contact;0;0;1;0;0;0;1;0;;;;30
68;7;agroconcept_contact;0;0;1;0;0;0;1;0;;;;15
68;21;agroconcept_contact;0;0;1;0;0;0;0;0;;;;15
68;27;agroconcept_contact;3;1;1;1;0;0;0;0;;;;35
68;17;agroconcept_contact;2;1;1;0;0;0;0;0;;;;10
68;26;agroconcept_contact;2;0;1;0;0;0;1;0;;;;1
68;55;agroconcept_contact;0;0;1;1;0;0;1;0;;;;35
68;20;agroconcept_contact;0;0;1;0;0;0;1;0;;;;10
68;13;agroconcept_contact;0;0;1;0;0;0;0;0;;;;35
68;10;agroconcept_contact;1;0;1;1;0;0;0;0;;;;35
69;6;exchange;2;0;0;0;0;0;0;1;4;2;;
69;100;exchange;3;0;1;1;0;0;1;0;4;0;3;
69;101;exchange;2;0;1;0;0;0;0;1;4;2;4;
69;6;agroconcept_contact;2;0;0;0;0;0;0;1;;;;5
69;5;agroconcept_contact;0;0;1;0;0;0;0;0;;;;1
69;12;agroconcept_contact;1;0;1;0;0;0;0;0;;;;5
69;14;agroconcept_contact;1;0;0;0;0;0;0;1;;;;20
70;6;agroconcept_contact;0;0;0;0;0;0;0;1;;;;2
71;16;agroconcept_contact;0;0;1;0;0;0;0;0;;;;6
71;17;agroconcept_contact;0;0;1;0;0;0;0;0;;;;3
71;9;agroconcept_contact;0;0;1;0;0;0;0;0;;;;49
71;12;agroconcept_contact;0;0;1;1;0;0;0;0;;;;39
71;22;agroconcept_contact;0;0;1;0;0;0;0;0;;;;5
71;54;agroconcept_contact;0;0;1;1;0;0;0;0;;;;49
71;20;agroconcept_contact;0;0;1;1;0;0;0;0;;;;29
71;19;agroconcept_contact;0;0;1;0;0;0;0;0;;;;5
72;25;exchange;3;1;1;0;0;0;0;0;4;2;5;
72;102;exchange;3;0;1;0;0;0;0;0;4;2;;
72;103;exchange;3;0;1;0;0;0;0;0;4;2;4;
72;1;agroconcept_contact;2;0;1;0;0;0;0;0;;;;30
72;17;agroconcept_contact;1;0;1;0;0;0;0;1;;;;5
72;26;agroconcept_contact;3;0;1;0;0;0;0;0;;;;2
72;24;agroconcept_contact;3;1;0;0;0;0;0;0;;;;30
72;25;agroconcept_contact;3;1;0;0;0;0;0;0;;;;30
73;;exchange;4;0;0;0;0;0;0;1;2;;;
73;7;agroconcept_contact;3;0;0;1;0;0;0;0;;;;55
73;27;agroconcept_contact;2;0;1;0;0;0;0;0;;;;20
73;10;agroconcept_contact;3;0;1;0;0;0;0;0;;;;20
73;19;agroconcept_contact;1;0;0;0;0;0;0;1;;;;20
73;25;agroconcept_contact;1;0;0;0;1;0;0;0;;;;65
73;9;agroconcept_contact;0;0;1;0;0;0;0;0;;;;65
73;54;agroconcept_contact;0;0;1;0;0;0;0;0;;;;65
74;6;agroconcept_contact;0;0;0;0;0;0;0;1;;;;5
74;27;agroconcept_contact;0;0;1;0;0;0;0;1;;;;15
74;28;agroconcept_contact;0;0;1;0;0;0;0;0;;;;25
74;4;agroconcept_contact;0;0;1;0;0;0;0;1;;;;15
74;10;agroconcept_contact;0;0;1;0;0;0;0;1;;;;15
74;19;agroconcept_contact;0;0;0;0;0;0;0;1;;;;25
75;11;exchange;3;0;1;0;0;0;0;1;4;0;4;
75;104;exchange;2;0;1;0;0;0;0;1;4;0;4;
75;105;exchange;2;0;1;0;0;0;0;1;4;0;1;
75;11;agroconcept_contact;2;1;1;0;0;0;0;1;;;;12
76;14;exchange;1;0;1;0;0;0;0;1;5;0;;
76;106;exchange;2;0;0;0;0;0;0;1;4;1;4;
76;6;exchange;2;0;1;0;0;0;0;1;4;1;4;
76;107;exchange;2;0;0;0;0;0;0;1;4;1;4;
76;108;exchange;2;0;1;0;0;0;0;0;3;2;4;
76;1;exchange;2;0;1;0;0;0;0;0;3;1;4;
76;1;agroconcept_contact;2;0;1;0;0;0;0;0;;;;3
76;6;agroconcept_contact;2;0;1;0;0;0;0;1;;;;1
76;7;agroconcept_contact;2;0;1;0;0;0;0;0;;;;15
76;27;agroconcept_contact;1;0;1;0;0;0;0;0;;;;20
76;16;agroconcept_contact;1;0;1;0;0;0;0;0;;;;40
76;4;agroconcept_contact;1;0;1;0;0;0;0;0;;;;12
76;17;agroconcept_contact;0;0;1;0;0;0;0;0;;;;10
76;2;agroconcept_contact;0;0;1;0;0;0;0;0;;;;12
76;12;agroconcept_contact;1;0;1;0;0;0;0;0;;;;20
76;26;agroconcept_contact;0;0;1;0;0;0;0;0;;;;2
76;9;agroconcept_contact;1;0;1;0;0;0;0;0;;;;30
76;13;agroconcept_contact;0;0;1;0;0;0;0;0;;;;30
76;20;agroconcept_contact;1;0;1;0;0;0;0;0;;;;15
76;55;agroconcept_contact;0;0;1;0;0;0;0;0;;;;25
76;54;agroconcept_contact;1;0;1;0;0;0;0;0;;;;30
76;14;agroconcept_contact;1;0;1;0;0;0;0;0;;;;40
76;10;agroconcept_contact;0;0;1;0;0;0;0;0;;;;35
81;109;exchange;1;0;0;0;1;0;0;1;5;0;4;
81;110;exchange;2;0;0;1;0;0;0;0;5;2;4;
81;;exchange;2;0;0;0;1;0;0;1;2;0;;
81;111;exchange;4;0;0;0;1;0;0;0;5;0;4;
81;112;exchange;2;0;0;0;0;0;0;1;4;3;4;
81;113;exchange;2;0;1;0;0;0;0;0;4;2;4;
81;114;exchange;3;0;0;0;1;0;0;0;4;3;4;
81;115;exchange;3;0;1;1;0;0;0;0;5;0;4;
77;5;agroconcept_contact;2;1;0;0;0;0;0;1;;;;45
77;16;agroconcept_contact;1;0;1;0;0;0;0;0;;;;30
77;4;agroconcept_contact;2;0;1;0;0;0;0;0;;;;7
77;17;agroconcept_contact;0;0;1;0;0;0;0;0;;;;4
77;22;agroconcept_contact;2;0;1;0;0;0;0;0;;;;8
77;19;agroconcept_contact;1;0;1;0;0;0;0;0;;;;8
78;;exchange;3;0;1;0;0;0;0;0;2;0;1;
78;66;exchange;3;0;1;0;0;0;0;0;5;2;5;
78;68;exchange;3;0;1;0;0;0;0;0;5;2;5;
78;79;exchange;1;0;1;0;0;0;0;0;4;1;4;
78;27;exchange;2;0;1;0;0;0;0;0;5;1;4;
78;116;exchange;1;0;1;0;0;0;0;0;4;1;4;
78;117;exchange;3;0;1;0;0;0;0;0;5;3;5;
78;23;agroconcept_contact;0;1;0;0;1;0;0;0;;;;25
78;7;agroconcept_contact;0;0;0;0;0;0;1;0;;;;15
78;21;agroconcept_contact;0;0;1;0;0;0;0;0;;;;20
78;27;agroconcept_contact;1;1;1;0;0;0;0;0;;;;15
78;18;agroconcept_contact;0;1;1;0;0;0;0;0;;;;15
78;5;agroconcept_contact;0;0;1;0;0;0;0;0;;;;20
78;12;agroconcept_contact;0;1;1;0;0;0;0;0;;;;10
78;9;agroconcept_contact;0;1;1;0;0;0;1;0;;;;15
78;13;agroconcept_contact;0;1;1;0;0;0;0;0;;;;15
78;15;agroconcept_contact;0;1;1;0;0;0;0;0;;;;10
78;20;agroconcept_contact;0;1;0;0;0;0;1;0;;;;5
78;55;agroconcept_contact;0;1;1;0;0;0;1;0;;;;15
78;14;agroconcept_contact;0;1;1;0;0;0;1;0;;;;10
78;10;agroconcept_contact;0;0;1;0;0;0;0;1;;;;15
78;19;agroconcept_contact;0;1;1;0;0;0;0;0;;;;15
79;118;exchange;2;0;1;1;0;0;0;0;3;1;5;
79;119;exchange;3;0;0;0;0;1;0;0;4;3;4;
79;11;agroconcept_contact;0;0;1;0;0;0;0;0;;;;10
79;23;agroconcept_contact;0;0;1;0;0;0;0;0;;;;35
79;21;agroconcept_contact;2;0;1;0;0;0;1;1;;;;50
79;7;agroconcept_contact;0;0;1;0;0;0;0;0;;;;13
79;27;agroconcept_contact;1;1;1;0;0;0;0;0;;;;50
79;18;agroconcept_contact;0;0;1;0;0;0;0;0;;;;50
79;28;agroconcept_contact;0;0;1;0;0;0;0;1;;;;45
79;16;agroconcept_contact;1;0;1;0;0;0;0;0;;;;50
79;17;agroconcept_contact;0;0;1;0;0;0;0;0;;;;10
79;24;agroconcept_contact;0;0;1;0;0;0;0;0;;;;20
79;25;agroconcept_contact;0;0;1;0;0;0;0;0;;;;20
79;9;agroconcept_contact;0;0;1;0;0;0;0;0;;;;20
79;12;agroconcept_contact;;0;0;0;0;0;0;0;;;;0
79;13;agroconcept_contact;0;0;1;0;0;0;0;0;;;;50
79;54;agroconcept_contact;0;0;1;0;0;0;0;0;;;;20
79;14;agroconcept_contact;0;0;1;1;0;0;0;0;;;;50
79;55;agroconcept_contact;0;0;1;0;0;0;0;0;;;;10
79;10;agroconcept_contact;0;1;1;0;0;0;0;0;;;;50
79;8;agroconcept_contact;0;0;1;0;0;0;0;0;;;;15
